Instância;Tempo(ms);Solução
1;6;b4 c2 a3 b1 d2 f1 g3 h1 f2 d1 c3 b5 c7
2;8;b7 c8 g4 b4 c5 e7 a3 a1 a4
3;161;f6 f7 h7 c7 c1 d2 d3 f1 g2 f3 e4 d5 c6 b5 a4 a8
4;199;h3 g4 f3 f6 f7 g8 e6 c4 b5 d6 b7 a5 b3 a1
5;96;h7 g6 h5 h4 h2 f4 f3 e2 e6 c4 d4 c5 f8 c8 d7 c6 b6 b5 a4 b4 b2 b1
6;7184;a4 a3 a5 b6 b7 c8 d8 c7 c6 b5 c4 d4 e5 h2 h3 f3 e2 d1 d2 c3 b4 c5 d5 e6 f7
7;583;e3 f4 g3 h2 g2 g4 g6 f5 e5 d6 f8 f7 e8 d8 c7 b8 a8 b7 c6 b5 b4 a4 b3 b1 c1 e1 d2 d3 c3
8;764;g2 g3 h3 f3 f2 e2 e3 e4 d4 c4 c3 c1 b2 b3 c4 d5 e6 f7 g8 g7 h7 h8
9;8392;h7 h6 h8 g7 e5 h2 d6 c6 a4 a3 a2 b1 a1 a5 a6 c4 d3 d2 d1 e2 f2 f3 e3 d4 c5 b6 c7 d8 e8 c8 a8
10;10044;
